,id,nome,municipio_id,municipio_nome,microrregiao_municipio_id,microrregiao_municipio_nome,regiao_imediata_id,regiao_imediata_nome,uf_id,uf_sigla,uf_nome,regiao_id,regiao_sigla,regiao_nome
0,520005005,Abadia de Goiás,5200050,Abadia de Goiás,520001,Goiânia,5201,Goiânia,52,GO,Goiás,5,CO,Centro-Oeste
1,310010405,Abadia dos Dourados,3100104,Abadia dos Dourados,310061,Monte Carmelo,3111,Uberlândia,31,MG,Minas Gerais,3,SE,Sudeste
2,520010005,Abadiânia,5200100,Abadiânia,520002,Anápolis,5201,Goiânia,52,GO,Goiás,5,CO,Centro-Oeste
3,520010010,Posse d'Abadia,5200100,Abadiânia,520002,Anápolis,5201,Goiânia,52,GO,Goiás,5,CO,Centro-Oeste
4,310020305,Abaeté,3100203,Abaeté,310070,Abaeté,3113,Divinópolis,31,MG,Minas Gerais,3,SE,Sudeste
5,150010705,Abaetetuba,1500107,Abaetetuba,150003,Abaetetuba,1501,Belém,15,PA,Pará,1,N,Norte
6,150010710,Beja,1500107,Abaetetuba,150003,Abaetetuba,1501,Belém,15,PA,Pará,1,N,Norte
7,230010105,Abaiara,2300101,Abaiara,230012,Brejo Santo,2304,Juazeiro do Norte,23,CE,Ceará,2,NE,Nordeste
8,230010120,São José,2300101,Abaiara,230012,Brejo Santo,2304,Juazeiro do Norte,23,CE,Ceará,2,NE,Nordeste
9,230010125,Oitis,2300101,Abaiara,230012,Brejo Santo,2304,Juazeiro do Norte,23,CE,Ceará,2,NE,Nordeste
10,230010130,Triângulo,2300101,Abaiara,230012,Brejo Santo,2304,Juazeiro do Norte,23,CE,Ceará,2,NE,Nordeste
11,230010135,Olho D'Água de Pedras,2300101,Abaiara,230012,Brejo Santo,2304,Juazeiro do Norte,23,CE,Ceará,2,NE,Nordeste
12,290010805,Abaíra,2900108,Abaíra,290013,Brumado,2904,Vitória da Conquista,29,BA,Bahia,2,NE,Nordeste
13,290010810,Catolés,2900108,Abaíra,290013,Brumado,2904,Vitória da Conquista,29,BA,Bahia,2,NE,Nordeste
14,290020705,Abaré,2900207,Abaré,290024,Paulo Afonso,2909,Paulo Afonso,29,BA,Bahia,2,NE,Nordeste
15,290020710,Ibó,2900207,Abaré,290024,Paulo Afonso,2909,Paulo Afonso,29,BA,Bahia,2,NE,Nordeste
16,410010305,Abatiá,4100103,Abatiá,410022,Santo Antônio da Platina,4105,Londrina,41,PR,Paraná,4,S,Sul
17,420005105,Abdon Batista,4200051,Abdon Batista,420008,Joaçaba - Herval d'Oeste,4204,Chapecó,42,SC,Santa Catarina,4,S,Sul
18,150013105,Abel Figueiredo,1500131,Abel Figueiredo,150009,Marabá,1503,Marabá,15,PA,Pará,1,N,Norte
19,420010105,Abelardo Luz,4200101,Abelardo Luz,420011,Xanxerê,4204,Chapecó,42,SC,Santa Catarina,4,S,Sul
20,310030205,Abre Campo,3100302,Abre Campo,310028,Manhuaçu,3106,Juíz de Fora,31,MG,Minas Gerais,3,SE,Sudeste
21,310030210,Granada,3100302,Abre Campo,310028,Manhuaçu,3106,Juíz de Fora,31,MG,Minas Gerais,3,SE,Sudeste
22,260005405,Abreu e Lima,2600054,Abreu e Lima,260001,Recife,2601,Recife,26,PE,Pernambuco,2,NE,Nordeste
23,260005410,Distrito Industrial,2600054,Abreu e Lima,260001,Recife,2601,Recife,26,PE,Pernambuco,2,NE,Nordeste
24,170025105,Abreulândia,1700251,Abreulândia,170003,Paraíso do Tocantins,1701,Palmas,17,TO,Tocantins,1,N,Norte
25,310040105,Acaiaca,3100401,Acaiaca,310030,Ponte Nova,3106,Juíz de Fora,31,MG,Minas Gerais,3,SE,Sudeste
26,210005505,Açailândia,2100055,Açailândia,210021,Açailândia,2105,Imperatriz,21,MA,Maranhão,2,NE,Nordeste
27,290030605,Acajutiba,2900306,Acajutiba,290002,Alagoinhas,2901,Salvador,29,BA,Bahia,2,NE,Nordeste
28,150020605,Acará,1500206,Acará,150001,Belém,1501,Belém,15,PA,Pará,1,N,Norte
29,150020610,Guajará-Miri,1500206,Acará,150001,Belém,1501,Belém,15,PA,Pará,1,N,Norte
30,150020615,Jaguarari,1500206,Acará,150001,Belém,1501,Belém,15,PA,Pará,1,N,Norte
31,230015005,Acarape,2300150,Acarape,230003,Redenção-Acarape,2301,Fortaleza,23,CE,Ceará,2,NE,Nordeste
32,230020005,Acaraú,2300200,Acaraú,230017,Acaraú,2306,Sobral,23,CE,Ceará,2,NE,Nordeste
33,230020010,Aranaú,2300200,Acaraú,230017,Acaraú,2306,Sobral,23,CE,Ceará,2,NE,Nordeste
34,230020030,Juritianha,2300200,Acaraú,230017,Acaraú,2306,Sobral,23,CE,Ceará,2,NE,Nordeste
35,230020040,Lagoa do Carneiro,2300200,Acaraú,230017,Acaraú,2306,Sobral,23,CE,Ceará,2,NE,Nordeste
36,240010905,Acari,2400109,Acari,240008,Currais Novos,2402,Caicó,24,RN,Rio Grande do Norte,2,NE,Nordeste
37,220005305,Acauã,2200053,Acauã,220010,Paulistana,2203,Picos,22,PI,Piauí,2,NE,Nordeste
38,430003405,Aceguá,4300034,Aceguá,430010,Bagé,4302,Pelotas,43,RS,Rio Grande do Sul,4,S,Sul
39,430003415,Colônia Nova,4300034,Aceguá,430010,Bagé,4302,Pelotas,43,RS,Rio Grande do Sul,4,S,Sul
40,430003425,Minuano,4300034,Aceguá,430010,Bagé,4302,Pelotas,43,RS,Rio Grande do Sul,4,S,Sul
41,430003435,Rio Negro,4300034,Aceguá,430010,Bagé,4302,Pelotas,43,RS,Rio Grande do Sul,4,S,Sul
42,230030905,Acopiara,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
43,230030907,Barra do Ingá,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
44,230030910,Ebron,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
45,230030915,Isidoro,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
46,230030920,Quincoê,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
47,230030925,Santa Felícia,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
48,230030930,Santo Antônio,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
49,230030931,São Paulinho,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
50,230030933,Solidão,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
51,230030935,Trussu,2300309,Acopiara,230009,Iguatu,2303,Iguatu,23,CE,Ceará,2,NE,Nordeste
52,510010205,Acorizal,5100102,Acorizal,510001,Cuiabá,5101,Cuiabá,51,MT,Mato Grosso,5,CO,Centro-Oeste
53,510010207,Baús,5100102,Acorizal,510001,Cuiabá,5101,Cuiabá,51,MT,Mato Grosso,5,CO,Centro-Oeste
54,510010210,Aldeia,5100102,Acorizal,510001,Cuiabá,5101,Cuiabá,51,MT,Mato Grosso,5,CO,Centro-Oeste
55,120001305,Acrelândia,1200013,Acrelândia,120001,Rio Branco,1201,Rio Branco,12,AC,Acre,1,N,Norte
56,520013405,Acreúna,5200134,Acreúna,520015,Palmeiras de Goiás,5204,São Luís de Montes Belos - Iporá,52,GO,Goiás,5,CO,Centro-Oeste
57,240020805,Açu,2400208,Açu,240011,Açu,2403,Mossoró,24,RN,Rio Grande do Norte,2,NE,Nordeste
58,310050005,Açucena,3100500,Açucena,310024,Ipatinga,3105,Ipatinga,31,MG,Minas Gerais,3,SE,Sudeste
59,310050010,Aramirim,3100500,Açucena,310024,Ipatinga,3105,Ipatinga,31,MG,Minas Gerais,3,SE,Sudeste
60,310050015,Felicina,3100500,Açucena,310024,Ipatinga,3105,Ipatinga,31,MG,Minas Gerais,3,SE,Sudeste
61,310050020,Gama,3100500,Açucena,310024,Ipatinga,3105,Ipatinga,31,MG,Minas Gerais,3,SE,Sudeste
62,310050028,Naque-Nanuque,3100500,Açucena,310024,Ipatinga,3105,Ipatinga,31,MG,Minas Gerais,3,SE,Sudeste
63,350010505,Adamantina,3500105,Adamantina,350019,Adamantina - Lucélia,3505,Presidente Prudente,35,SP,São Paulo,3,SE,Sudeste
64,520015905,Adelândia,5200159,Adelândia,520003,Inhumas - Itaberaí - Anicuns,5201,Goiânia,52,GO,Goiás,5,CO,Centro-Oeste
65,350020405,Adolfo,3500204,Adolfo,350025,São José do Rio Preto,3507,São José do Rio Preto,35,SP,São Paulo,3,SE,Sudeste
66,410020205,Adrianópolis,4100202,Adrianópolis,410001,Curitiba,4101,Curitiba,41,PR,Paraná,4,S,Sul
67,290035505,Adustina,2900355,Adustina,290027,Cícero Dantas,2909,Paulo Afonso,29,BA,Bahia,2,NE,Nordeste
68,260010405,Afogados da Ingazeira,2600104,Afogados da Ingazeira,260014,Afogados da Ingazeira,2603,Serra Talhada,26,PE,Pernambuco,2,NE,Nordeste
